Date,Mobile Operating System,Percent of Usage
,Nintendo 3DS,0
,Nintendo,0.27
,webOS,0.4
,WinXP,0
,Brew,0
,Motorola,0.02
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.62
,Android,2.56
,iOS,30.5
,SymbianOS,38.17
,Series 40,0
,BlackBerry OS,9.16
,Samsung,1.88
,Unknown,6.23
,Windows Phone,0
,Sony Ericsson,6.72
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.28
,Playstation,1.55
,WinCE,1.66
,Nintendo 3DS,0
,Nintendo,0.25
,webOS,0.51
,WinXP,0
,Brew,0
,Motorola,0.02
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.52
,Android,3.31
,iOS,31.56
,SymbianOS,36.17
,Series 40,0
,BlackBerry OS,9.73
,Samsung,1.85
,Unknown,5.93
,Windows Phone,0
,Sony Ericsson,7.03
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.28
,Playstation,1.58
,WinCE,1.38
,Nintendo 3DS,0
,Nintendo,0.24
,webOS,0.47
,WinXP,0
,Brew,0
,Motorola,0.01
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.46
,Android,4.07
,iOS,32.05
,SymbianOS,35.05
,Series 40,0
,BlackBerry OS,9.69
,Samsung,1.81
,Unknown,6.05
,Windows Phone,0
,Sony Ericsson,7.12
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.27
,Playstation,1.55
,WinCE,1.17
,Nintendo 3DS,0
,Nintendo,0.35
,webOS,0.41
,WinXP,0
,Brew,0
,Motorola,0.01
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.38
,Android,4.54
,iOS,33.13
,SymbianOS,34.16
,Series 40,0
,BlackBerry OS,10.28
,Samsung,1.69
,Unknown,5.76
,Windows Phone,0
,Sony Ericsson,6.89
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.25
,Playstation,1.2
,WinCE,0.99
,Nintendo 3DS,0
,Nintendo,0.38
,webOS,0.42
,WinXP,0
,Brew,0
,Motorola,0.01
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.3
,Android,5.35
,iOS,33.92
,SymbianOS,32.71
,Series 40,0
,BlackBerry OS,11.13
,Samsung,1.69
,Unknown,5.46
,Windows Phone,0
,Sony Ericsson,6.38
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.24
,Playstation,1.11
,WinCE,0.85
,Nintendo 3DS,0
,Nintendo,0.42
,webOS,0.42
,WinXP,0
,Brew,0
,Motorola,0.01
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.3
,Android,5.9
,iOS,30.13
,SymbianOS,34.51
,Series 40,0
,BlackBerry OS,12.73
,Samsung,1.69
,Unknown,5.71
,Windows Phone,0
,Sony Ericsson,6.21
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.22
,Playstation,1.1
,WinCE,0.73
,Nintendo 3DS,0
,Nintendo,0.35
,webOS,0.4
,WinXP,0.02
,Brew,0
,Motorola,0.01
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.26
,Android,5.58
,iOS,29.38
,SymbianOS,33.54
,Series 40,0
,BlackBerry OS,14.06
,Samsung,2.02
,Unknown,6.68
,Windows Phone,0
,Sony Ericsson,6.02
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.17
,Playstation,1.16
,WinCE,0.5
,Nintendo 3DS,0
,Nintendo,0.26
,webOS,0.44
,WinXP,0.02
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.17
,Android,3.94
,iOS,29.01
,SymbianOS,32.92
,Series 40,0
,BlackBerry OS,14.15
,Samsung,2.86
,Unknown,9.09
,Windows Phone,0
,Sony Ericsson,5.9
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.07
,Playstation,1.02
,WinCE,0.17
,Nintendo 3DS,0
,Nintendo,0.25
,webOS,0.52
,WinXP,0.02
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.07
,Android,3.95
,iOS,26.66
,SymbianOS,33.39
,Series 40,0
,BlackBerry OS,14.98
,Samsung,3.34
,Unknown,9.81
,Windows Phone,0
,Sony Ericsson,5.79
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.07
,Playstation,1.02
,WinCE,0.15
,Nintendo 3DS,0
,Nintendo,0.25
,webOS,0.52
,WinXP,0.02
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.06
,Android,7.91
,iOS,26.05
,SymbianOS,32.04
,Series 40,0
,BlackBerry OS,16.45
,Samsung,2.93
,Unknown,6.77
,Windows Phone,0
,Sony Ericsson,5.47
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.15
,Playstation,0.92
,WinCE,0.38
,Nintendo 3DS,0
,Nintendo,0.24
,webOS,0.51
,WinXP,0.02
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.16
,Android,9.22
,iOS,25.71
,SymbianOS,31.54
,Series 40,0
,BlackBerry OS,16.95
,Samsung,2.85
,Unknown,6.16
,Windows Phone,0
,Sony Ericsson,5.43
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.16
,Playstation,0.7
,WinCE,0.38
,Nintendo 3DS,0
,Nintendo,0.23
,webOS,0.45
,WinXP,0.02
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.19
,Android,9.79
,iOS,22.85
,SymbianOS,32.69
,Series 40,0
,BlackBerry OS,17.9
,Samsung,2.96
,Unknown,6.59
,Windows Phone,0
,Sony Ericsson,5.61
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.13
,Playstation,0.46
,WinCE,0.34
,Nintendo 3DS,0
,Nintendo,0.15
,webOS,0.35
,WinXP,0.02
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.16
,Android,10.67
,iOS,22.45
,SymbianOS,32.83
,Series 40,0
,BlackBerry OS,18.19
,Samsung,2.83
,Unknown,5.91
,Windows Phone,0
,Sony Ericsson,5.54
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.12
,Playstation,0.4
,WinCE,0.49
,Nintendo 3DS,0
,Nintendo,0.13
,webOS,0.31
,WinXP,0.01
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0
,WinVista,0
,Other,0.13
,Android,11.61
,iOS,21.94
,SymbianOS,31.93
,Series 40,0
,BlackBerry OS,19.25
,Samsung,3.49
,Unknown,5.32
,Windows Phone,0
,Sony Ericsson,4.9
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.12
,Playstation,0.37
,WinCE,0.44
,Nintendo 3DS,0
,Nintendo,0.13
,webOS,0.29
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.1
,WinVista,0
,Other,0.11
,Android,13.6
,iOS,23.57
,SymbianOS,29.66
,Series 40,0
,BlackBerry OS,18.04
,Samsung,4.05
,Unknown,5.13
,Windows Phone,0
,Sony Ericsson,4.32
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.12
,Playstation,0.42
,WinCE,0.4
,Nintendo 3DS,0
,Nintendo,0.15
,webOS,0.28
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.14
,WinVista,0
,Other,0.1
,Android,14.61
,iOS,25.02
,SymbianOS,30.25
,Series 40,0
,BlackBerry OS,15.03
,Samsung,4.33
,Unknown,5.21
,Windows Phone,0.14
,Sony Ericsson,3.91
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.12
,Playstation,0.39
,WinCE,0.37
,Nintendo 3DS,0
,Nintendo,0.16
,webOS,0.25
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.13
,WinVista,0
,Other,0.09
,Android,15.16
,iOS,24.56
,SymbianOS,30.66
,Series 40,0
,BlackBerry OS,14.52
,Samsung,4.51
,Unknown,5.14
,Windows Phone,0.26
,Sony Ericsson,3.86
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.11
,Playstation,0.34
,WinCE,0.35
,Nintendo 3DS,0
,Nintendo,0.13
,webOS,0.21
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.12
,WinVista,0
,Other,0.07
,Android,15.8
,iOS,24.38
,SymbianOS,30.61
,Series 40,0
,BlackBerry OS,14.1
,Samsung,4.73
,Unknown,5.1
,Windows Phone,0.28
,Sony Ericsson,3.75
,Linux,0
,bada,0
,Nokia Unknown,0
,LG,0.11
,Playstation,0.32
,WinCE,0.32
,Nintendo 3DS,0
,Nintendo,0.14
,webOS,0.19
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.11
,WinVista,0
,Other,0.07
,Android,16.05
,iOS,23.34
,SymbianOS,31.56
,Series 40,0
,BlackBerry OS,13.54
,Samsung,4.99
,Unknown,5.28
,Windows Phone,0.29
,Sony Ericsson,3.66
,Linux,0
,bada,0.12
,Nokia Unknown,0
,LG,0.1
,Playstation,0.31
,WinCE,0.29
,Nintendo 3DS,0
,Nintendo,0.13
,webOS,0.16
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.1
,WinVista,0
,Other,0.06
,Android,17.63
,iOS,22.09
,SymbianOS,31.36
,Series 40,0
,BlackBerry OS,12.94
,Samsung,5.08
,Unknown,5.77
,Windows Phone,0.28
,Sony Ericsson,3.46
,Linux,0
,bada,0.37
,Nokia Unknown,0
,LG,0.1
,Playstation,0.28
,WinCE,0.26
,Nintendo 3DS,0
,Nintendo,0.11
,webOS,0.13
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.09
,WinVista,0
,Other,0.06
,Android,17.92
,iOS,20.04
,SymbianOS,33.58
,Series 40,0
,BlackBerry OS,12.15
,Samsung,5.64
,Unknown,5.91
,Windows Phone,0.26
,Sony Ericsson,3.19
,Linux,0
,bada,0.39
,Nokia Unknown,0
,LG,0.1
,Playstation,0.26
,WinCE,0.23
,Nintendo 3DS,0
,Nintendo,0.1
,webOS,0.11
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.07
,WinVista,0
,Other,0.05
,Android,18.93
,iOS,20.03
,SymbianOS,32.45
,Series 40,0
,BlackBerry OS,12.48
,Samsung,5.76
,Unknown,5.88
,Windows Phone,0.27
,Sony Ericsson,2.97
,Linux,0
,bada,0.39
,Nokia Unknown,0
,LG,0.09
,Playstation,0.24
,WinCE,0.21
,Nintendo 3DS,0
,Nintendo,0.1
,webOS,0.09
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.06
,WinVista,0
,Other,0.05
,Android,20.6
,iOS,19.41
,SymbianOS,32.12
,Series 40,0
,BlackBerry OS,11.84
,Samsung,6.04
,Unknown,5.72
,Windows Phone,0.29
,Sony Ericsson,2.7
,Linux,0
,bada,0.45
,Nokia Unknown,0
,LG,0.09
,Playstation,0.26
,WinCE,0.21
,Nintendo 3DS,0
,Nintendo,0.09
,webOS,0.08
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.06
,WinVista,0
,Other,0.04
,Android,20.9
,iOS,21.21
,SymbianOS,31.83
,Series 40,0
,BlackBerry OS,10.72
,Samsung,5.6
,Unknown,5.9
,Windows Phone,0.33
,Sony Ericsson,2.26
,Linux,0
,bada,0.47
,Nokia Unknown,0
,LG,0.08
,Playstation,0.25
,WinCE,0.18
,Nintendo 3DS,0
,Nintendo,0.09
,webOS,0.08
,WinXP,0
,Brew,0
,Motorola,0
,Win7,0
,MeeGo,0
,Maemo 5,0.06
,WinVista,0
,Other,0.03
,Android,22.11
,iOS,23.48
,SymbianOS,29.84
,Series 40,0
,BlackBerry OS,9.49
,Samsung,5.22
,Unknown,6.01
,Windows Phone,0.37
,Sony Ericsson,2.04
,Linux,0.07
,bada,0.48
,Nokia Unknown,0
,LG,0.08
,Playstation,0.29
,WinCE,0.17
,Nintendo 3DS,0
,Nintendo,0.11
,webOS,0.08
,WinXP,0
,Brew,0
,Motorola,0.05
,Win7,0.05
,MeeGo,0
,Maemo 5,0.05
,WinVista,0
,Other,0.03
,Android,21.9
,iOS,24.21
,SymbianOS,30.95
,Series 40,0
,BlackBerry OS,8.44
,Samsung,5.43
,Unknown,5.29
,Windows Phone,0.36
,Sony Ericsson,1.93
,Linux,0.1
,bada,0.51
,Nokia Unknown,0
,LG,0.08
,Playstation,0.27
,WinCE,0.15
,Nintendo 3DS,0
,Nintendo,0.1
,webOS,0.07
,WinXP,0
,Brew,0
,Motorola,0.06
,Win7,0.07
,MeeGo,0.01
,Maemo 5,0.05
,WinVista,0
,Other,0.03
,Android,21.83
,iOS,22.71
,SymbianOS,33.46
,Series 40,0
,BlackBerry OS,7.78
,Samsung,5.61
,Unknown,4.76
,Windows Phone,0.34
,Sony Ericsson,2
,Linux,0.1
,bada,0.5
,Nokia Unknown,0
,LG,0.08
,Playstation,0.27
,WinCE,0.14
,Nintendo 3DS,0.06
,Nintendo,0.09
,webOS,0.05
,WinXP,0
,Brew,0
,Motorola,0.05
,Win7,0.08
,MeeGo,0.02
,Maemo 5,0.04
,WinVista,0
,Other,0.03
,Android,23.21
,iOS,24.04
,SymbianOS,31.89
,Series 40,0
,BlackBerry OS,6.94
,Samsung,5.84
,Unknown,4.45
,Windows Phone,0.36
,Sony Ericsson,1.75
,Linux,0.11
,bada,0.52
,Nokia Unknown,0
,LG,0.07
,Playstation,0.23
,WinCE,0.12
,Nintendo 3DS,0.13
,Nintendo,0.07
,webOS,0.04
,WinXP,0
,Brew,0
,Motorola,0.06
,Win7,0.09
,MeeGo,0.02
,Maemo 5,0.04
,WinVista,0
,Other,0.02
,Android,24.76
,iOS,25.49
,SymbianOS,30.19
,Series 40,0
,BlackBerry OS,6.76
,Samsung,5.06
,Unknown,4.37
,Windows Phone,0.41
,Sony Ericsson,1.55
,Linux,0.1
,bada,0.52
,Nokia Unknown,0
,LG,0.06
,Playstation,0.18
,WinCE,0.11
,Nintendo 3DS,0.1
,Nintendo,0.06
,webOS,0.04
,WinXP,0
,Brew,0
,Motorola,0.05
,Win7,0.1
,MeeGo,0.03
,Maemo 5,0.03
,WinVista,0
,Other,0.02
,Android,23.61
,iOS,23.99
,SymbianOS,31.48
,Series 40,0
,BlackBerry OS,6.43
,Samsung,6.05
,Unknown,4.78
,Windows Phone,0.44
,Sony Ericsson,1.62
,Linux,0.11
,bada,0.64
,Nokia Unknown,0
,LG,0.07
,Playstation,0.2
,WinCE,0.12
,Nintendo 3DS,0.12
,Nintendo,0.06
,webOS,0.03
,WinXP,0
,Brew,0.01
,Motorola,0.06
,Win7,0.1
,MeeGo,0.03
,Maemo 5,0.03
,WinVista,0
,Other,0.02
,Android,23.79
,iOS,23.85
,SymbianOS,28.45
,Series 40,2.74
,BlackBerry OS,6.1
,Samsung,6.81
,Unknown,4.53
,Windows Phone,0.48
,Sony Ericsson,1.54
,Linux,0.11
,bada,0.7
,Nokia Unknown,0
,LG,0.07
,Playstation,0.19
,WinCE,0.1
,Nintendo 3DS,0.14
,Nintendo,0.06
,webOS,0.02
,WinXP,0
,Brew,0.07
,Motorola,0.05
,Win7,0.1
,MeeGo,0.03
,Maemo 5,0.03
,WinVista,0
,Other,0.02
,Android,23.81
,iOS,22.95
,SymbianOS,20.25
,Series 40,11.84
,BlackBerry OS,5.66
,Samsung,7.18
,Unknown,4.59
,Windows Phone,0.53
,Sony Ericsson,1.44
,Linux,0.11
,bada,0.77
,Nokia Unknown,0
,LG,0.07
,Playstation,0.18
,WinCE,0.1
,Nintendo 3DS,0.14
,Nintendo,0.06
,webOS,0.02
,WinXP,0
,Brew,0.1
,Motorola,0.04
,Win7,0.08
,MeeGo,0.03
,Maemo 5,0.03
,WinVista,0
,Other,0.02
,Android,25.07
,iOS,24.56
,SymbianOS,17.29
,Series 40,13.7
,BlackBerry OS,5.26
,Samsung,6.21
,Unknown,4.38
,Windows Phone,0.55
,Sony Ericsson,1.29
,Linux,0.11
,bada,0.74
,Nokia Unknown,0
,LG,0.06
,Playstation,0.17
,WinCE,0.09
,Nintendo 3DS,0.14
,Nintendo,0.05
,webOS,0.02
,WinXP,0
,Brew,0.1
,Motorola,0.04
,Win7,0.09
,MeeGo,0.03
,Maemo 5,0.02
,WinVista,0
,Other,0.02
,Android,26.53
,iOS,25.41
,SymbianOS,13.47
,Series 40,14.73
,BlackBerry OS,4.96
,Samsung,6.71
,Unknown,4.51
,Windows Phone,0.68
,Sony Ericsson,1.14
,Linux,0.12
,bada,0.72
,Nokia Unknown,0
,LG,0.06
,Playstation,0.18
,WinCE,0.08
,Nintendo 3DS,0.16
,Nintendo,0.06
,webOS,0.02
,WinXP,0.15
,Brew,0.1
,Motorola,0.04
,Win7,0.09
,MeeGo,0.03
,Maemo 5,0.02
,WinVista,0
,Other,0.05
,Android,28.21
,iOS,24.48
,SymbianOS,12.58
,Series 40,15
,BlackBerry OS,4.65
,Samsung,6.56
,Unknown,4.73
,Windows Phone,0.74
,Sony Ericsson,1.03
,Linux,0.13
,bada,0.71
,Nokia Unknown,0
,LG,0.05
,Playstation,0.17
,WinCE,0.07
,Nintendo 3DS,0.17
,Nintendo,0.06
,webOS,0.01
,WinXP,0.3
,Brew,0.1
,Motorola,0.04
,Win7,0.07
,MeeGo,0.04
,Maemo 5,0.02
,WinVista,0
,Other,0.07
,Android,29.25
,iOS,23.63
,SymbianOS,12.22
,Series 40,15.14
,BlackBerry OS,4.54
,Samsung,6.72
,Unknown,4.83
,Windows Phone,0.8
,Sony Ericsson,0.98
,Linux,0.12
,bada,0.69
,Nokia Unknown,0
,LG,0.05
,Playstation,0.13
,WinCE,0.07
,Nintendo 3DS,0.15
,Nintendo,0.05
,webOS,0.01
,WinXP,0.28
,Brew,0.11
,Motorola,0.04
,Win7,0.06
,MeeGo,0.04
,Maemo 5,0.02
,WinVista,0
,Other,0.06
,Android,30.19
,iOS,23.72
,SymbianOS,11.7
,Series 40,15
,BlackBerry OS,4.29
,Samsung,6.72
,Unknown,4.82
,Windows Phone,0.8
,Sony Ericsson,0.95
,Linux,0.11
,bada,0.66
,Nokia Unknown,0
,LG,0.04
,Playstation,0.12
,WinCE,0.07
,Nintendo 3DS,0.14
,Nintendo,0.05
,webOS,0.01
,WinXP,0.29
,Brew,0.11
,Motorola,0.04
,Win7,0.06
,MeeGo,0.04
,Maemo 5,0.01
,WinVista,0
,Other,0.05
,Android,31.67
,iOS,23.73
,SymbianOS,10.93
,Series 40,15.07
,BlackBerry OS,3.93
,Samsung,6.52
,Unknown,4.75
,Windows Phone,0.84
,Sony Ericsson,0.89
,Linux,0.1
,bada,0.58
,Nokia Unknown,0
,LG,0.04
,Playstation,0.11
,WinCE,0.06
,Nintendo 3DS,0.14
,Nintendo,0.05
,webOS,0.01
,WinXP,0.31
,Brew,0.07
,Motorola,0.04
,Win7,0.06
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.05
,Android,33.19
,iOS,23.26
,SymbianOS,10.72
,Series 40,14.86
,BlackBerry OS,3.53
,Samsung,6.57
,Unknown,4.7
,Windows Phone,0.91
,Sony Ericsson,0.85
,Linux,0.09
,bada,0.55
,Nokia Unknown,0
,LG,0.04
,Playstation,0.11
,WinCE,0.02
,Nintendo 3DS,0.14
,Nintendo,0.04
,webOS,0.01
,WinXP,0.18
,Brew,0.07
,Motorola,0.04
,Win7,0.06
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.03
,Android,36.87
,iOS,25.85
,SymbianOS,8.86
,Series 40,12.86
,BlackBerry OS,3.39
,Samsung,5.03
,Unknown,4.31
,Windows Phone,1.05
,Sony Ericsson,0.71
,Linux,0.09
,bada,0.44
,Nokia Unknown,0
,LG,0.03
,Playstation,0.1
,WinCE,0
,Nintendo 3DS,0.15
,Nintendo,0.04
,webOS,0.01
,WinXP,0.01
,Brew,0.07
,Motorola,0.03
,Win7,0.04
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.02
,Android,36.9
,iOS,27.21
,SymbianOS,8.18
,Series 40,12.61
,BlackBerry OS,3.32
,Samsung,4.79
,Unknown,4.25
,Windows Phone,1.08
,Sony Ericsson,0.65
,Linux,0.08
,bada,0.41
,Nokia Unknown,0
,LG,0.03
,Playstation,0.09
,WinCE,0
,Nintendo 3DS,0.15
,Nintendo,0.04
,webOS,0.01
,WinXP,0.01
,Brew,0.07
,Motorola,0.03
,Win7,0.03
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.02
,Android,37.23
,iOS,27.14
,SymbianOS,7.98
,Series 40,12.58
,BlackBerry OS,3.27
,Samsung,4.68
,Unknown,4.29
,Windows Phone,1.19
,Sony Ericsson,0.63
,Linux,0.08
,bada,0.4
,Nokia Unknown,0
,LG,0.03
,Playstation,0.1
,WinCE,0
,Nintendo 3DS,0.17
,Nintendo,0.04
,webOS,0.01
,WinXP,0.01
,Brew,0.06
,Motorola,0.03
,Win7,0.02
,MeeGo,0.03
,Maemo 5,0.01
,WinVista,0
,Other,0.02
,Android,38.34
,iOS,26.46
,SymbianOS,7.75
,Series 40,12.5
,BlackBerry OS,3.27
