ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
25,Life of Brian,1979,18+,8.1,95%,1,0,0,0,0,movie,NA
26,Ex Machina,2015,18+,7.7,92%,1,0,0,0,0,movie,NA
27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,0,movie,NA
28,District 9,2009,18+,7.9,90%,1,0,0,0,0,movie,NA
29,The Irishman,2019,18+,7.9,96%,1,0,0,0,0,movie,NA
30,Moon,2009,18+,7.9,90%,1,0,0,0,0,movie,NA
31,Marriage Story,2019,18+,8.0,95%,1,0,0,0,0,movie,NA
32,Drive,2011,18+,7.8,92%,1,0,1,0,0,movie,NA
33,Train to Busan,2016,,7.5,94%,1,0,1,0,0,movie,NA
34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,0,movie,NA
35,Dangal,2016,7+,8.4,88%,1,0,0,0,0,movie,NA
36,Klaus,2019,7+,8.2,94%,1,0,0,0,0,movie,NA
37,Minority Report,2002,13+,7.6,90%,1,0,0,0,0,movie,NA
38,Mystic River,2003,18+,7.9,88%,1,0,0,0,0,movie,NA
39,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0,0,movie,NA
40,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0,0,movie,NA
41,Despicable Me,2010,7+,7.6,81%,1,0,0,0,0,movie,NA
42,Hell or High Water,2016,18+,7.6,97%,1,0,0,0,0,movie,NA
43,Sin City,2005,18+,8.0,77%,1,0,0,0,0,movie,NA
44,Ip Man,2008,18+,8.0,85%,1,0,0,0,0,movie,NA
45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,1,0,0,0,0,movie,NA
46,The Theory of Everything,2014,13+,7.7,79%,1,0,0,0,0,movie,NA
47,The Pursuit of Happyness,2006,13+,8.0,67%,1,0,0,0,0,movie,NA
48,Senna,2010,13+,8.5,93%,1,0,0,0,0,movie,NA
49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,1,0,0,0,0,movie,NA
50,Magnolia,1999,18+,8.0,83%,1,0,0,0,0,movie,NA
51,The Hateful Eight,2015,18+,7.8,75%,1,0,0,0,0,movie,NA
52,The Artist,2011,13+,7.9,95%,1,0,0,0,0,movie,NA
53,Moonlight,2016,18+,7.4,98%,1,0,0,0,0,movie,NA
54,Back to the Future Part II,1989,7+,7.8,65%,1,0,0,0,0,movie,NA
55,Willy Wonka & the Chocolate Factory,1971,all,7.8,91%,1,0,0,0,0,movie,NA
56,What's Eating Gilbert Grape,1993,13+,7.8,90%,1,0,1,0,0,movie,NA
57,The Curious Case of Benjamin Button,2008,13+,7.8,71%,1,0,0,0,0,movie,NA
58,A Silent Voice,2016,,8.2,94%,1,0,0,0,0,movie,NA
59,Snowpiercer,2013,18+,7.1,94%,1,0,0,0,0,tv series,3
60,Hugo,2011,7+,7.5,93%,1,0,0,0,0,movie,NA
61,Ant-Man and the Wasp,2018,13+,7.1,88%,1,0,0,0,0,movie,NA
62,As Good as It Gets,1997,13+,7.7,85%,1,0,0,0,0,movie,NA
63,Back to the Future Part III,1990,7+,7.4,80%,1,0,0,0,0,movie,NA
64,Searching for Sugar Man,2012,13+,8.2,95%,1,0,0,0,0,movie,NA
65,Road to Perdition,2002,18+,7.7,81%,1,0,0,0,0,movie,NA
66,To All the Boys I've Loved Before,2020,13+,7.2,97%,1,0,0,0,0,movie,NA
67,Molly's Game,2017,18+,7.4,82%,1,0,0,0,0,movie,NA
68,Blackfish,2013,13+,8.1,98%,1,1,0,0,0,movie,NA
69,El Camino: A Breaking Bad Movie,2019,18+,7.4,91%,1,0,0,0,0,movie,NA
70,The Invisible Guest,2016,18+,8.1,67%,1,0,0,0,0,movie,NA
71,Song of the Sea,2014,7+,8.1,99%,1,0,0,0,0,movie,NA
72,End of Watch,2012,18+,7.6,85%,1,0,0,0,0,movie,NA
73,The Evil Dead,1981,18+,7.5,95%,1,0,0,0,0,movie,NA
74,About Time,2013,18+,7.8,68%,1,0,0,0,0,movie,NA
75,Kung Fu Hustle,2004,18+,7.7,90%,1,0,0,0,0,movie,NA
76,Blue Is the Warmest Color,2013,18+,7.7,89%,1,0,0,0,0,movie,NA
77,Y Tu Mamá También,2001,18+,7.6,92%,1,0,0,0,0,movie,NA
78,The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%,1,0,0,0,0,movie,NA
79,Mud,2013,13+,7.4,97%,1,0,0,0,0,movie,NA
80,The Edge of Seventeen,2016,18+,7.3,94%,1,0,0,0,0,movie,NA
81,Philadelphia,1993,13+,7.7,80%,1,0,0,0,0,tv series,18
82,Lagaan: Once Upon a Time in India,2001,7+,8.1,95%,1,0,0,0,0,movie,NA
83,Tucker and Dale vs. Evil,2010,18+,7.5,85%,1,0,0,0,0,movie,NA
84,The Matrix Reloaded,2003,18+,7.2,73%,1,0,0,0,0,movie,NA
85,The Two Popes,2019,13+,7.6,89%,1,0,0,0,0,movie,NA
86,The Last Samurai,2003,18+,7.7,66%,1,0,0,0,0,movie,NA
87,The Florida Project,2017,18+,7.6,96%,1,0,0,0,0,movie,NA
88,13th,2016,18+,8.2,96%,1,0,0,0,0,movie,NA
89,Bahubali: The Beginning,2015,13+,8.1,88%,1,0,0,0,0,movie,NA
90,The Dawn Wall,2018,,8.1,100%,1,0,0,0,0,movie,NA
91,Dolemite Is My Name,2019,18+,7.3,97%,1,0,0,0,0,movie,NA
92,Tarzan,1999,all,7.3,89%,1,0,0,0,0,movie,NA
93,The Platform,2019,18+,7.0,82%,1,0,0,0,0,movie,NA
94,Okja,2017,13+,7.3,87%,1,0,0,0,0,movie,NA
95,Roma,2018,18+,7.7,96%,1,0,0,0,0,tv series,2
96,Saving Mr. Banks,2013,13+,7.5,79%,1,0,0,1,0,movie,NA
97,Icarus,2017,18+,7.9,93%,1,0,0,0,0,movie,NA
98,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,0,movie,NA
99,Corpse Bride,2005,7+,7.3,84%,1,0,0,0,0,movie,NA
100,Jerry Maguire,1996,18+,7.3,83%,1,0,0,0,0,movie,NA
101,The Death of Stalin,2017,18+,7.2,96%,1,0,0,0,0,movie,NA
102,GoldenEye,1995,13+,7.2,78%,1,0,0,0,0,movie,NA
103,The Boy in the Striped Pyjamas,2008,13+,7.8,63%,1,0,0,0,0,movie,NA
104,Amy,2015,18+,7.8,95%,1,0,1,1,0,tv series,6
105,Ralph Breaks the Internet,2018,7+,7.1,88%,1,0,0,0,0,movie,NA
106,Good Time,2017,18+,7.4,92%,1,0,0,0,0,movie,NA
107,Ip Man 2,2010,18+,7.5,96%,1,0,0,0,0,movie,NA
108,The Little Prince,2015,7+,7.7,93%,1,0,0,0,0,movie,NA
109,The Spectacular Now,2013,18+,7.1,91%,1,0,0,0,0,movie,NA
110,Baahubali 2: The Conclusion,2017,7+,8.2,89%,1,0,0,0,0,movie,NA
111,Black Mirror: Bandersnatch,2018,,7.2,92%,1,0,0,0,0,tv movie,NA
112,PK,2014,13+,8.1,76%,1,0,0,0,0,movie,NA
113,Extraction,2020,18+,6.8,68%,1,0,0,0,0,movie,NA
114,The Lobster,2015,18+,7.2,87%,1,0,0,0,0,movie,NA
115,Blue Valentine,2010,18+,7.4,87%,1,0,0,0,0,movie,NA
116,Zindagi Na Milegi Dobara,2011,7+,8.1,91%,1,0,0,0,0,movie,NA
117,Green Room,2015,18+,7.0,91%,1,0,0,0,0,movie,NA
118,Kung Fu Panda 2,2011,7+,7.2,81%,1,0,0,0,0,movie,NA
119,The Ballad of Buster Scruggs,2018,18+,7.3,91%,1,0,0,0,0,movie,NA
120,Cloverfield,2008,13+,7.0,77%,1,0,0,0,0,movie,NA
121,Burning,2018,18+,7.5,95%,1,0,0,0,0,movie,NA
122,The Adventures of Tintin,2011,7+,7.3,74%,1,0,0,0,0,movie,NA
123,Bolt,2008,7+,6.8,89%,1,0,0,1,0,movie,NA
124,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,88%,1,0,0,0,0,movie,NA
125,Chasing Amy,1997,18+,7.2,87%,1,0,0,0,0,movie,NA
126,The Princess and the Frog,2009,all,7.1,85%,1,0,0,1,0,movie,NA
127,Bad Genius,2017,13+,7.6,100%,1,0,0,0,0,movie,NA
128,The Wicker Man,1973,18+,7.5,89%,1,0,0,0,0,movie,NA
129,A Single Man,2009,18+,7.6,85%,1,0,0,0,0,movie,NA
130,Blow,2001,18+,7.6,55%,1,0,0,0,0,movie,NA
131,The Squid and the Whale,2005,18+,7.3,92%,1,0,1,0,0,movie,NA
132,My Life as a Zucchini,2016,13+,7.8,99%,1,0,0,0,0,movie,NA
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,94%,1,0,0,0,0,movie,NA
134,Barfi!,2012,all,8.1,86%,1,0,0,0,0,movie,NA
135,Frances Ha,2013,18+,7.5,92%,1,0,0,0,0,movie,NA
136,Tootsie,1982,7+,7.4,90%,1,0,0,0,0,movie,NA
137,Solo: A Star Wars Story,2018,13+,6.9,70%,1,0,0,0,0,movie,NA
138,Steve Jobs,2015,18+,7.2,85%,1,0,0,0,0,movie,NA
139,Tremors,1990,13+,7.1,88%,1,0,0,0,0,movie,NA
140,The Croods,2013,7+,7.2,71%,1,0,0,0,0,movie,NA
141,Locke,2014,18+,7.1,91%,1,0,0,0,0,movie,NA
142,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100%,1,0,0,0,0,movie,NA
143,Starred Up,2013,18+,7.4,99%,1,0,1,0,0,movie,NA
144,Mudbound,2017,18+,7.4,97%,1,0,0,0,0,movie,NA
145,Austin Powers: International Man of Mystery,1997,13+,7.0,71%,1,0,0,0,0,movie,NA
146,Blue Ruin,2013,18+,7.1,96%,1,0,0,0,0,movie,NA
147,The Patriot,2000,18+,7.2,61%,1,1,0,0,0,movie,NA
148,Babel,2006,18+,7.4,69%,1,0,0,0,0,movie,NA
149,The Square,2013,,8.1,100%,1,1,1,0,0,movie,NA
150,Gerald's Game,2017,18+,6.6,90%,1,0,0,0,0,movie,NA
151,Miracle,2004,7+,7.5,81%,1,0,0,1,0,movie,NA
152,Swades,2004,all,8.2,83%,1,0,0,0,0,movie,NA
153,Tinker Tailor Soldier Spy,2011,18+,7.1,83%,1,0,0,0,0,movie,NA
154,The Witch,2015,18+,6.9,90%,1,0,0,0,0,movie,NA
155,Haider,2014,13+,8.1,86%,1,0,0,0,0,movie,NA
156,Padman,2018,13+,7.9,100%,1,0,0,0,0,movie,NA
157,Hush,2016,18+,6.6,91%,1,0,0,0,0,movie,NA
158,Elizabeth,1998,18+,7.4,82%,1,0,0,0,0,movie,NA
159,Miss Americana,2020,18+,7.4,93%,1,0,0,0,0,movie,NA
160,Christopher Robin,2018,7+,7.3,73%,1,0,0,0,0,movie,NA
161,I Lost My Body,2019,18+,7.6,96%,1,0,0,0,0,movie,NA
162,I Am Mother,2019,13+,6.7,90%,1,0,0,0,0,movie,NA
163,Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94%,1,0,0,0,0,movie,NA
164,The Autopsy of Jane Doe,2016,18+,6.8,86%,1,0,0,0,0,movie,NA
165,Virunga,2014,,8.2,100%,1,0,0,0,0,movie,NA
166,Freedom Writers,2007,13+,7.5,70%,1,0,1,0,0,movie,NA
167,The Master,2012,18+,7.2,85%,1,0,0,0,0,movie,NA
168,A Serious Man,2009,18+,7.0,90%,1,0,0,0,0,movie,NA
169,The King,2019,18+,7.2,70%,1,0,0,0,0,movie,NA
170,The Breadwinner,2017,13+,7.7,95%,1,0,0,0,0,NA,NA
171,The Boy Who Harnessed the Wind,2019,7+,7.6,87%,1,0,1,0,0,movie,NA
172,Article 15,2019,,8.3,89%,1,0,0,0,0,movie,NA
173,The Killing of a Sacred Deer,2017,18+,7.0,79%,1,0,0,0,0,movie,NA
174,Lawless,2012,18+,7.3,67%,1,0,0,0,0,movie,NA
175,Kabhi Khushi Kabhie Gham,2001,all,7.4,100%,1,0,0,0,0,movie,NA
176,Charlie and the Chocolate Factory,2005,7+,6.6,82%,1,0,0,0,0,movie,NA
177,Freaks,2019,18+,6.7,87%,1,0,0,0,0,movie,NA
178,Hannah Gadsby: Nanette,2018,,8.2,100%,1,0,0,0,0,movie,NA
179,The Mask of Zorro,1998,13+,6.7,82%,1,0,0,0,0,movie,NA
180,The Natural,1984,7+,7.5,82%,1,0,0,0,0,movie,NA
181,Equilibrium,2002,18+,7.4,40%,1,0,0,0,0,movie,NA
182,Arthur Christmas,2011,7+,7.1,92%,1,0,0,0,0,movie,NA
183,The Rainmaker,1997,13+,7.2,83%,1,0,1,0,0,movie,NA
184,Winter on Fire: Ukraine's Fight for Freedom,2015,,8.4,88%,1,0,0,0,0,movie,NA
185,Always Be My Maybe,2019,13+,6.8,89%,1,0,0,0,0,movie,NA
186,The Crying Game,1992,18+,7.2,94%,1,0,0,0,0,movie,NA
187,War Horse,2011,13+,7.2,74%,1,0,0,0,0,movie,NA
188,Shot Caller,2017,18+,7.3,69%,1,0,0,0,0,movie,NA
189,The Invitation,2015,,6.6,88%,1,0,1,0,0,movie,NA
190,A Most Violent Year,2014,18+,7.0,89%,1,0,0,0,0,movie,NA
191,The Other Guys,2010,13+,6.6,78%,1,0,0,0,0,movie,NA
192,Kapoor & Sons,2016,13+,7.7,100%,1,0,0,0,0,movie,NA
193,On Body and Soul,2017,,7.6,89%,1,0,0,0,0,movie,NA
194,The Fundamentals of Caring,2016,18+,7.3,77%,1,0,1,0,0,movie,NA
195,Insidious,2010,13+,6.8,66%,1,0,0,0,0,movie,NA
196,Bill Burr: Paper Tiger,2019,18+,8.2,86%,1,0,0,0,0,movie,NA
197,Bad Boys,1995,18+,6.9,43%,1,0,0,0,0,movie,NA
198,The Foreigner,2017,18+,7.0,65%,1,0,0,0,0,movie,NA
199,The Danish Girl,2015,18+,7.1,67%,1,0,0,0,0,movie,NA
200,The Girl with All the Gifts,2016,18+,6.6,86%,1,0,0,0,0,movie,NA
201,Bird Box,2018,18+,6.6,63%,1,0,0,0,0,movie,NA
202,The Ring,2002,13+,7.1,71%,1,0,1,0,0,movie,NA
203,Hostiles,2017,18+,7.2,72%,1,0,0,0,0,movie,NA
204,Sairat,2016,,8.3,100%,1,0,0,0,0,movie,NA
205,Trumbo,2015,18+,7.5,74%,1,0,1,0,0,movie,NA
206,LA 92,2017,18+,8.2,92%,1,0,0,0,0,movie,NA
207,20th Century Women,2016,18+,7.3,88%,1,0,0,0,0,movie,NA
208,Kal Ho Naa Ho,2003,all,8.0,70%,1,0,0,0,0,movie,NA
209,Swiss Army Man,2016,18+,7.0,71%,1,0,0,0,0,movie,NA
210,In This Corner of the World,2016,13+,7.8,97%,1,0,0,0,0,movie,NA
211,A Ghost Story,2017,18+,6.9,91%,1,0,0,0,0,movie,NA
212,United 93,2006,18+,7.5,90%,1,0,0,0,0,movie,NA
213,Patriot Games,1992,18+,6.9,72%,1,0,1,0,0,movie,NA
214,The Secret Life of Pets 2,2019,7+,6.5,60%,1,0,0,0,0,movie,NA
215,Hitch,2005,13+,6.6,68%,1,1,0,0,0,movie,NA
216,The Young Offenders,2016,,7.1,100%,1,0,0,0,0,tv series,3
217,Enemy,2013,18+,6.9,71%,1,0,0,0,0,movie,NA
218,Mirage,2018,18+,7.4,71%,1,0,1,0,0,movie,NA
219,Everybody's Everything,2019,18+,7.4,100%,1,0,0,0,0,movie,NA
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,6.1,78%,1,0,0,0,0,movie,NA
221,The Guernsey Literary & Potato Peel Pie Society,2018,,7.4,81%,1,0,0,0,0,movie,NA
222,I Don't Feel at Home in This World Anymore,2017,18+,6.9,88%,1,0,0,0,0,movie,NA
223,The Endless,2018,,6.5,94%,1,0,0,0,0,movie,NA
224,Julie & Julia,2009,13+,7.0,77%,1,0,0,0,0,movie,NA
225,The Game Changers,2019,,7.9,70%,1,0,0,0,0,movie,NA
226,Under the Shadow,2016,13+,6.9,99%,1,0,0,0,0,movie,NA
227,Angel Has Fallen,2019,18+,6.4,39%,1,0,0,0,0,movie,NA
228,Kon-Tiki,2012,13+,7.2,81%,1,0,1,0,0,movie,NA
229,Mary Poppins Returns,2018,7+,6.7,79%,1,0,0,0,0,movie,NA
230,Kajaki,2014,18+,7.1,100%,1,0,0,0,0,movie,NA
231,The Fear of 13,2015,,7.7,94%,1,0,0,0,0,movie,NA
232,The Night Comes for Us,2018,18+,7.0,92%,1,0,0,0,0,movie,NA
233,Blood Father,2016,18+,6.4,89%,1,0,0,0,0,movie,NA
234,Stree,2018,7+,7.6,77%,1,0,0,0,0,movie,NA
235,American Factory,2019,16+,7.4,97%,1,0,0,0,0,movie,NA
236,Code 8,2019,,6.1,79%,1,0,0,0,0,movie,NA
237,Salt,2010,13+,6.4,62%,1,0,0,0,0,movie,NA
238,The Hundred-Foot Journey,2014,7+,7.3,67%,1,0,0,0,0,movie,NA
239,The Distinguished Citizen,2016,,7.5,100%,1,0,0,0,0,movie,NA
240,Scooby-Doo on Zombie Island,1998,all,7.8,86%,1,0,0,0,0,video movie,NA
241,Chasing Coral,2017,,8.1,100%,1,0,0,0,0,movie,NA
242,The End of the Tour,2015,18+,7.3,92%,1,0,0,0,0,movie,NA
243,The One I Love,2014,18+,7.1,82%,1,0,0,0,0,movie,NA
244,Underworld,2003,18+,7.0,31%,1,0,0,0,0,movie,NA
245,The Death of Mr. Lazarescu,2005,18+,7.9,93%,1,0,0,0,0,movie,NA
246,Madagascar: Escape 2 Africa,2008,7+,6.6,64%,1,0,0,0,0,movie,NA
247,The Wolf's Call,2019,16+,6.9,92%,1,0,0,0,0,movie,NA
248,What Happened to Monday,2017,18+,6.9,59%,1,0,0,0,0,movie,NA
249,The Willoughbys,2020,7+,6.4,90%,1,0,0,0,0,movie,NA
250,The White Helmets,2016,16+,7.5,100%,1,0,0,0,0,movie,NA
251,Suburra,2015,,7.4,91%,1,0,0,0,0,tv series,3
252,The Matrix Revolutions,2003,18+,6.8,35%,1,0,0,0,0,movie,NA
253,Richard Pryor: Live in Concert,1979,18+,8.2,92%,1,0,0,0,0,movie,NA
254,Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52%,1,0,0,0,0,movie,NA
255,Get Him to the Greek,2010,18+,6.4,72%,1,0,0,0,0,movie,NA
256,Slow West,2015,18+,6.9,92%,1,0,0,0,0,movie,NA
257,The Meyerowitz Stories (New and Selected),2017,18+,6.9,93%,1,0,0,0,0,movie,NA
258,The Battered Bastards of Baseball,2014,,8.0,100%,1,0,0,0,0,movie,NA
259,The Perfection,2018,18+,6.1,83%,1,0,0,0,0,movie,NA
260,Ip Man 3,2015,13+,7.1,78%,1,0,0,0,0,movie,NA
261,Sinister,2012,18+,6.8,64%,1,0,0,0,0,movie,NA
262,Rush: Beyond the Lighted Stage,2010,,8.4,90%,1,0,0,0,0,movie,NA
263,20 Feet from Stardom,2013,13+,7.4,99%,1,0,0,0,0,movie,NA
264,The Stanford Prison Experiment,2015,18+,6.9,84%,1,0,0,0,0,movie,NA
265,My Week with Marilyn,2011,13+,7.0,83%,1,0,0,0,0,movie,NA
266,Catfish,2010,13+,7.1,80%,1,0,0,0,0,movie,NA
267,Secret Superstar,2017,,7.9,90%,1,0,0,0,0,movie,NA
268,Private Life,2018,,7.2,94%,1,0,0,0,0,movie,NA
269,Jarhead,2005,18+,7.0,61%,1,0,0,0,0,movie,NA
270,Yes Man,2008,13+,6.8,46%,1,0,0,0,0,movie,NA
271,For the Love of Spock,2016,,7.6,100%,1,0,0,0,0,movie,NA
272,Goon,2012,18+,6.8,81%,1,0,0,0,0,movie,NA
273,Ace Ventura: Pet Detective,1994,13+,6.9,48%,1,0,0,0,0,movie,NA
274,Inequality for All,2013,7+,8.0,90%,1,0,0,0,0,movie,NA
275,Olympus Has Fallen,2013,18+,6.5,49%,1,0,0,0,0,movie,NA
276,Dave Chappelle: Sticks & Stones,2019,18+,8.5,35%,1,0,0,0,0,movie,NA
277,John Mulaney: Kid Gorgeous at Radio City,2018,18+,7.9,100%,1,0,0,0,0,movie,NA
278,La Bamba,1987,13+,6.9,90%,1,0,0,0,0,movie,NA
279,Public Enemies,2009,18+,7.0,68%,1,0,0,0,0,movie,NA
280,Supersonic,2016,18+,7.9,84%,1,0,0,0,0,movie,NA
281,The Edge of Democracy,2019,16+,7.1,97%,1,0,0,0,0,movie,NA
282,The Polar Express,2004,all,6.6,56%,1,0,0,0,0,movie,NA
283,Under the Skin,2014,18+,6.3,85%,1,0,0,0,0,movie,NA
284,Crip Camp: A Disability Revolution,2020,18+,7.8,100%,1,0,0,0,0,movie,NA
285,Tell Me Who I Am,2019,,7.6,95%,1,0,0,0,0,movie,NA
286,Hey Arnold! The Jungle Movie,2017,7+,7.6,100%,1,1,0,0,0,tv movie,NA
287,Zack and Miri Make a Porno,2008,18+,6.5,65%,1,0,0,0,0,movie,NA
288,The Score,2001,18+,6.8,73%,1,0,1,0,0,movie,NA
289,Hamburger Hill,1987,18+,6.7,100%,1,0,1,0,0,movie,NA
290,9,2009,13+,7.1,57%,1,0,0,0,0,movie,NA
291,Undefeated,2011,13+,7.7,96%,1,0,0,0,0,movie,NA
292,Team Foxcatcher,2016,,7.3,100%,1,0,0,0,0,movie,NA
293,A Shaun the Sheep Movie: Farmageddon,2019,all,6.9,97%,1,0,0,0,0,movie,NA
294,April and the Extraordinary World,2015,7+,7.3,96%,1,0,0,0,0,movie,NA
295,The Highwaymen,2019,18+,6.9,57%,1,0,0,0,0,movie,NA
296,Legend,2015,18+,6.9,61%,1,0,0,0,0,movie,NA
297,Boy & the World,2014,7+,7.6,93%,1,0,0,0,0,movie,NA
298,Creep 2,2017,,6.4,100%,1,0,0,0,0,movie,NA
299,Terminator 3: Rise of the Machines,2003,18+,6.3,69%,1,0,0,0,0,movie,NA
300,Unrest,2017,,7.7,100%,1,0,0,0,0,movie,NA
301,Guru,2007,13+,7.7,83%,1,0,0,0,0,movie,NA
302,Louis C.K. 2017,2017,18+,7.6,100%,1,0,0,0,0,movie,NA
303,A Twelve-Year Night,2018,,7.6,88%,1,0,0,0,0,movie,NA
304,Happy as Lazzaro,2018,,7.6,91%,1,0,0,0,0,movie,NA
305,"What Happened, Miss Simone?",2015,,7.6,89%,1,0,0,0,0,movie,NA
306,Blue Jay,2016,,7.3,90%,1,0,1,0,0,movie,NA
307,1922,2017,18+,6.3,90%,1,0,0,0,0,movie,NA
308,Hancock,2008,13+,6.4,41%,1,0,0,0,0,movie,NA
309,Circus of Books,2019,,7.1,98%,1,0,0,0,0,movie,NA
310,"Hail, Caesar!",2016,13+,6.3,85%,1,0,0,0,0,movie,NA
311,The Pixar Story,2007,all,7.8,86%,1,0,0,0,0,movie,NA
312,Child's Play,1988,18+,6.6,71%,1,0,1,0,0,movie,NA
313,Springsteen On Broadway,2018,,8.5,95%,1,0,0,0,0,tv movie,NA
314,The Angry Birds Movie 2,2019,7+,6.4,73%,1,0,0,0,0,movie,NA
315,Obvious Child,2014,18+,6.8,90%,1,0,0,0,0,movie,NA
316,Awe!,2018,,7.8,100%,1,0,0,0,0,movie,NA
317,American Honey,2016,18+,7.0,79%,1,0,0,0,0,movie,NA
318,Last Breath,2019,,7.7,92%,1,0,0,0,0,movie,NA
319,Udta Punjab,2016,18+,7.8,91%,1,0,0,0,0,movie,NA
320,Den of Thieves,2018,18+,7.0,41%,1,0,0,0,0,movie,NA
321,Wadjda,2012,7+,7.5,99%,1,0,0,0,0,movie,NA
322,The Spiderwick Chronicles,2008,7+,6.5,80%,1,0,0,0,0,movie,NA
323,The Christmas Chronicles,2018,7+,7.1,64%,1,0,1,0,0,movie,NA
324,Turbo,2013,7+,6.4,67%,1,0,0,0,0,movie,NA
325,My Girl,1991,7+,6.9,53%,1,0,0,0,0,movie,NA
326,22-Jul,2018,18+,6.8,80%,1,0,0,0,0,movie,NA
327,Adam Sandler: 100% Fresh,2018,18+,7.6,92%,1,0,0,0,0,movie,NA
328,Remember,2015,18+,7.5,70%,1,0,1,0,0,movie,NA
329,Triple Frontier,2019,18+,6.4,72%,1,0,0,0,0,movie,NA
330,Bombshell: The Hedy Lamarr Story,2018,13+,7.4,96%,1,0,0,0,0,movie,NA
331,Paddleton,2019,18+,7.2,89%,1,0,0,0,0,movie,NA
332,Bad Boys II,2003,18+,6.6,23%,1,0,0,0,0,movie,NA
333,Sour Grapes,2016,16+,7.3,96%,1,0,0,0,0,movie,NA
334,Betting on Zero,2017,,7.2,100%,1,0,0,0,0,movie,NA
335,Delhi Belly,2011,,7.5,87%,1,0,0,0,0,movie,NA
336,Being Elmo: A Puppeteer's Journey,2011,7+,7.6,95%,1,0,0,0,0,movie,NA
337,Williams,2017,,7.6,93%,1,0,0,0,0,movie,NA
338,It Comes at Night,2017,18+,6.2,87%,1,0,0,0,0,movie,NA
339,Cuba and the Cameraman,2017,,8.2,100%,1,0,0,0,0,movie,NA
340,Creep,2014,18+,6.3,89%,1,0,0,0,0,movie,NA
341,The Interview,2014,18+,6.5,52%,1,1,1,0,0,movie,NA
342,Bobby Robson: More Than a Manager,2018,,8.2,100%,1,0,0,0,0,movie,NA
343,Outbreak,1995,18+,6.6,59%,1,0,0,0,0,movie,NA
344,Black Snake Moan,2006,18+,6.9,66%,1,0,1,0,0,movie,NA
345,Bright,2017,18+,6.3,28%,1,0,0,0,0,movie,NA
346,Cargo,2017,,6.3,85%,1,0,1,0,0,movie,NA
347,Even the Rain,2010,,7.4,87%,1,0,0,0,0,movie,NA
348,Candyman,1992,18+,6.6,74%,1,0,0,0,0,movie,NA
349,Mary and the Witch's Flower,2017,7+,6.8,89%,1,0,0,0,0,movie,NA
